INFO - fast_ddpm_main.py - 2024-12-08 10:03:41,944 - Using device: cuda
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Added key: store_based_barrier_key:1 to store for rank: 0
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Writing log file to exp/logs/Fast-DDPM_experiments
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp instance id = 12815
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp comment = 
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Initialized distributed training: rank 0/4
INFO - diffusion.py - 2024-12-08 10:14:24,963 - step: 249, loss: 1400.3770751953125
INFO - diffusion.py - 2024-12-08 10:14:26,953 - step: 250, loss: 1803.1129150390625
INFO - diffusion.py - 2024-12-08 10:14:29,281 - step: 251, loss: 1929.20458984375
INFO - diffusion.py - 2024-12-08 10:14:31,189 - step: 252, loss: 12791.78515625
INFO - diffusion.py - 2024-12-08 10:14:33,413 - step: 253, loss: 1184.1558837890625
INFO - diffusion.py - 2024-12-08 10:14:35,566 - step: 254, loss: 13452.9794921875
INFO - diffusion.py - 2024-12-08 10:14:37,677 - step: 255, loss: 12884.533203125
INFO - diffusion.py - 2024-12-08 10:14:39,838 - step: 256, loss: 25486.08203125
INFO - diffusion.py - 2024-12-08 10:14:41,769 - step: 257, loss: 935.7994384765625
INFO - diffusion.py - 2024-12-08 10:14:43,867 - step: 258, loss: 913.5684814453125
INFO - diffusion.py - 2024-12-08 10:14:45,803 - step: 259, loss: 848.339599609375
INFO - diffusion.py - 2024-12-08 10:14:47,809 - step: 260, loss: 13222.189453125
INFO - diffusion.py - 2024-12-08 10:14:49,670 - step: 261, loss: 1232.8739013671875
INFO - diffusion.py - 2024-12-08 10:14:51,679 - step: 262, loss: 13169.1787109375
INFO - diffusion.py - 2024-12-08 10:14:53,638 - step: 263, loss: 12965.330078125
INFO - diffusion.py - 2024-12-08 10:14:55,597 - step: 264, loss: 1066.711181640625
INFO - diffusion.py - 2024-12-08 10:14:57,659 - step: 265, loss: 12936.0205078125
INFO - diffusion.py - 2024-12-08 10:14:59,762 - step: 266, loss: 12852.4775390625
